data,ano,mes,dia_juliano,hora,nucleo_sub_regional,local_recolha,especie,grupo,hcv,hcv_pct,t_ar_c,hr_pct,qa_flags
2020-07-07,2020,7,189,,"Aveiro, Viseu e Dão Lafões",Viseu,P. bravo,Pinhais,1.187,118.7,,,
2020-07-07,2020,7,189,,"Aveiro, Viseu e Dão Lafões",Viseu,P. bravo,Pinhais,1.187,118.7,,,
2020-07-07,2020,7,189,14:10,Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,Carqueja,Matos atlânticos,0.77,77.0,32.6,28.0,
2020-07-07,2020,7,189,14:10,Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,Urze,Matos atlânticos,0.86,86.0,32.6,28.0,
2020-07-07,2020,7,189,14:10,Alto Tâmega e Terra de Trás-os-Montes,Capeludos - Vila Pouca de Aguiar,P. bravo,Pinhais,1.38,138.0,32.6,28.0,
2020-07-07,2020,7,189,14:30,Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,Esteva,Matos mediterrânicos,1.0,100.0,,,
2020-07-07,2020,7,189,14:30,Alto Tâmega e Terra de Trás-os-Montes,Oleirinhos - Bragança,Tojo,Matos atlânticos,1.2,120.0,,,
2020-07-08,2020,7,190,,"Aveiro, Viseu e Dão Lafões",Viseu,Urze,Matos atlânticos,0.93,93.0,,,
2020-07-08,2020,7,190,,"Aveiro, Viseu e Dão Lafões",Viseu,Tojo,Matos atlânticos,1.375,137.5,,,
2020-07-08,2020,7,190,,"Aveiro, Viseu e Dão Lafões",Viseu,Eucalipto,Outro,1.87,187.0,,,
2020-07-08,2020,7,190,,"Aveiro, Viseu e Dão Lafões",Viseu,P. bravo,Pinhais,1.27,127.0,,,
2020-07-08,2020,7,190,14:00,Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,Carqueja,Matos atlânticos,1.14,114.0,23.2,64.6,
2020-07-08,2020,7,190,14:00,Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,Urze,Matos atlânticos,1.204,120.4,23.2,64.6,
2020-07-08,2020,7,190,14:00,Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,Tojo,Matos atlânticos,1.882,188.2,23.2,64.6,
2020-07-08,2020,7,190,14:00,Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,Herbáceas,Herbáceas,0.893,89.3,23.2,64.6,
2020-07-08,2020,7,190,14:00,Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,Carqueja,Matos atlânticos,1.14,114.0,23.2,64.6,
2020-07-08,2020,7,190,14:00,Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,Urze,Matos atlânticos,1.2,120.0,23.2,64.6,
2020-07-08,2020,7,190,14:00,Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,Tojo,Matos atlânticos,1.88,188.0,23.2,64.6,
2020-07-08,2020,7,190,14:00,Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,Herbáceas,Herbáceas,0.89,89.0,23.2,64.6,
2020-07-08,2020,7,190,14:00,Alto Minho e Cávado,Vile - Caminha,Carqueja,Matos atlânticos,0.85,85.0,27.1,54.0,
2020-07-08,2020,7,190,14:00,Alto Minho e Cávado,Vile - Caminha,Herbáceas,Herbáceas,0.75,75.0,27.1,54.0,
2020-07-08,2020,7,190,14:00,Alto Minho e Cávado,Vile - Caminha,Urze,Matos atlânticos,0.91,91.0,27.1,54.0,
2020-07-08,2020,7,190,15:00,Alto Minho e Cávado,Vile - Caminha,Tojo,Matos atlânticos,1.39,139.0,27.1,54.0,
2020-07-08,2020,7,190,14:15,"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,P. bravo,Pinhais,0.62,62.0,37.6,29.0,
2020-07-08,2020,7,190,14:45,"Beira Baixa, Beiras e Serra da Estrela",Olelas,Esteva,Matos mediterrânicos,0.74,74.0,34.9,24.0,
2020-07-08,2020,7,190,14:45,"Beira Baixa, Beiras e Serra da Estrela",Olelas,Urze,Matos atlânticos,0.49,49.0,34.9,24.0,
2020-07-09,2020,7,191,,"Aveiro, Viseu e Dão Lafões",Viseu,Urze,Matos atlânticos,1.18,118.0,,,
2020-07-09,2020,7,191,,"Aveiro, Viseu e Dão Lafões",Viseu,Tojo,Matos atlânticos,1.55,155.0,,,
2020-07-09,2020,7,191,,"Aveiro, Viseu e Dão Lafões",Viseu,Eucalipto,Outro,1.8,180.0,,,
2020-07-09,2020,7,191,,"Aveiro, Viseu e Dão Lafões",Viseu,P. bravo,Pinhais,1.49,149.0,,,
