nucleo_sub_regional,local_recolha,data,hora,t_ar_c,hr_pct,especie,grupo,hcv
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-04-19,14:30,20.1,54.5,Giesta,Giestais,3.18
AML e Alentejo Litoral,Arrábida - Setúbal,2021-04-26,14:00,23.0,51.3,Esteva,Matos mediterrânicos,1.68
AML e Alentejo Litoral,Arrábida - Setúbal,2021-04-26,14:00,23.0,51.3,Carrasco,Matos mediterrânicos,1.32
Douro,Lamares - Vila Real,2021-05-03,14:45,16.2,41.5,Carqueja,Matos atlânticos,1.48
Douro,Lamares - Vila Real,2021-05-03,14:45,16.2,41.5,Urze,Matos atlânticos,1.15
Douro,Lamares - Vila Real,2021-05-03,14:45,16.2,41.5,Herbáceas,Herbáceas,0.92
Médio Tejo e Lezíria do tejo,Chamusca,2021-05-04,14:20,27.6,41.5,Esteva,Matos mediterrânicos,1.36
Médio Tejo e Lezíria do tejo,Chamusca,2021-05-04,14:20,27.6,42.0,Tojo,Matos atlânticos,1.64
Médio Tejo e Lezíria do tejo,Santarém,2021-05-04,15:20,26.0,37.4,Tojo,Matos atlânticos,1.73
Médio Tejo e Lezíria do tejo,Santarém,2021-05-04,15:20,26.0,37.0,P. bravo,Pinhais,1.48
AML e Alentejo Litoral,Ouressa - Sintra,2021-05-17,14:15,21.2,50.6,Urze,Matos atlânticos,1.54
AML e Alentejo Litoral,Ouressa - Sintra,2021-05-17,14:15,21.2,50.6,Tojo,Matos atlânticos,1.61
AML e Alentejo Litoral,Arrábida - Setúbal,2021-05-17,13:30,27.0,39.4,Esteva,Matos mediterrânicos,1.25
AML e Alentejo Litoral,Arrábida - Setúbal,2021-05-17,13:30,27.0,39.4,Carrasco,Matos mediterrânicos,0.93
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-05-17,15:00,22.0,44.0,Carqueja,Matos atlânticos,1.0194
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-05-17,15:00,22.0,44.0,Urze,Matos atlânticos,1.3468
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-05-17,15:00,22.0,44.0,Herbáceas,Herbáceas,1.3679
Douro,Lamares - Vila Real,2021-05-17,14:40,20.6,33.0,Carqueja,Matos atlânticos,1.64
Douro,Lamares - Vila Real,2021-05-17,14:40,20.6,33.0,Urze,Matos atlânticos,1.32
Douro,Lamares - Vila Real,2021-05-17,14:40,20.6,33.0,Herbáceas,Herbáceas,1.23
Médio Tejo e Lezíria do tejo,Santarém,2021-05-17,12:45,22.1,44.0,Tojo,Matos atlânticos,0.74
Médio Tejo e Lezíria do tejo,Santarém,2021-05-17,12:45,22.1,44.0,P. bravo,Pinhais,0.96
Médio Tejo e Lezíria do tejo,Chamusca,2021-05-17,13:40,25.7,38.0,Esteva,Matos mediterrânicos,0.74
Médio Tejo e Lezíria do tejo,Chamusca,2021-05-17,13:40,25.7,28.0,Tojo,Matos atlânticos,0.96
Alto Minho e Cávado,Vile - Caminha,2021-05-19,14:00,19.1,45.0,Carqueja,Matos atlânticos,1.09
Alto Minho e Cávado,Vile - Caminha,2021-05-19,14:00,19.1,45.0,Tojo,Matos atlânticos,2.15
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2021-05-19,14:15,26.2,33.9,P. bravo,Pinhais,1.19
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2021-05-19,14:45,27.6,19.9,Esteva,Matos mediterrânicos,1.29
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2021-05-19,14:45,27.6,19.9,Urze,Matos atlânticos,0.92
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-05-19,14:15,22.6,37.5,Herbáceas,Herbáceas,1.491
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-05-19,14:15,22.6,38.0,Carqueja,Matos atlânticos,1.388
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-05-19,14:15,22.6,38.0,Urze,Matos atlânticos,1.194
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-05-19,14:30,18.4,60.1,Carqueja,Matos atlânticos,1.91
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-05-19,14:30,18.4,60.1,Urze,Matos atlânticos,1.48
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-05-19,14:30,18.4,60.1,Tojo,Matos atlânticos,2.35
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-05-19,14:30,18.4,60.1,Herbáceas,Herbáceas,2.18
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-05-19,14:30,24.5,30.0,Esteva,Matos mediterrânicos,1.29
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-05-19,14:30,24.5,30.0,Giesta,Giestais,1.33
AML e Alentejo Litoral,Faro,2021-05-20,,,,Esteva,Matos mediterrânicos,0.57
AML e Alentejo Litoral,Arrábida - Setúbal,2021-05-24,14:00,24.5,49.0,Esteva,Matos mediterrânicos,1.3
AML e Alentejo Litoral,Arrábida - Setúbal,2021-05-24,14:00,24.5,49.0,Carrasco,Matos mediterrânicos,0.9
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2021-05-25,14:15,27.6,36.0,P. bravo,Pinhais,1.18
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2021-05-25,14:45,25.7,36.0,Esteva,Matos mediterrânicos,1.21
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2021-05-25,14:45,25.7,36.0,Urze,Matos atlânticos,0.9
AML e Alentejo Litoral,Faro,2021-05-25,,,,Esteva,Matos mediterrânicos,0.57
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-05-26,14:45,22.0,44.0,Carqueja,Matos atlânticos,0.9
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-05-26,14:45,22.0,44.0,Urze,Matos atlânticos,0.9
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-05-26,14:45,22.0,44.0,Herbáceas,Herbáceas,1.09
Alto Minho e Cávado,Vile - Caminha,2021-05-26,15:30,22.3,55.0,Carqueja,Matos atlânticos,0.97
Alto Minho e Cávado,Vile - Caminha,2021-05-26,15:30,22.3,55.0,Herbáceas,Herbáceas,1.24
Alto Minho e Cávado,Vile - Caminha,2021-05-26,15:30,22.3,55.0,Tojo,Matos atlânticos,2.02
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-05-26,14:00,18.1,56.0,Carqueja,Matos atlânticos,1.68
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-05-26,14:00,18.1,56.0,Urze,Matos atlânticos,1.7
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-05-26,14:00,18.1,56.0,Herbáceas,Herbáceas,2.54
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2021-05-26,14:00,18.1,56.0,Tojo,Matos atlânticos,2.2
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-05-26,14:00,27.8,36.0,Herbáceas,Herbáceas,1.37
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-05-26,14:00,27.8,36.0,Carqueja,Matos atlânticos,1.33
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-05-26,14:00,27.8,36.0,Urze,Matos atlânticos,1.06
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2021-05-26,14:00,27.8,36.0,Tojo,Matos atlânticos,1.77
Douro,Lamares - Vila Real,2021-05-26,14:35,24.0,36.0,Carqueja,Matos atlânticos,1.65
Douro,Lamares - Vila Real,2021-05-26,14:35,24.0,36.0,Urze,Matos atlânticos,1.57
Douro,Lamares - Vila Real,2021-05-26,14:35,24.0,36.0,Herbáceas,Herbáceas,1.4
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-05-26,14:45,28.9,30.0,Esteva,Matos mediterrânicos,1.16
"Alto Alentejo, Alentejo Central e Baixo Alentejo",S.Penha - Portalegre,2021-05-26,14:45,28.9,30.0,Giesta,Giestais,1.26
Douro,Lamares - Vila Real,2021-05-31,14:40,23.7,42.0,Carqueja,Matos atlânticos,1.66
Douro,Lamares - Vila Real,2021-05-31,14:40,23.7,42.0,Urze,Matos atlânticos,1.83
Douro,Lamares - Vila Real,2021-05-31,14:40,23.7,42.0,Herbáceas,Herbáceas,1.02
AML e Alentejo Litoral,Ouressa - Sintra,2021-05-31,14:30,20.0,60.0,Urze,Matos atlânticos,1.67
AML e Alentejo Litoral,Ouressa - Sintra,2021-05-31,14:30,20.0,60.0,Tojo,Matos atlânticos,1.25
AML e Alentejo Litoral,Arrábida - Setúbal,2021-05-31,14:00,22.9,58.0,Esteva,Matos mediterrânicos,1.22
AML e Alentejo Litoral,Arrábida - Setúbal,2021-05-31,14:00,22.9,58.0,Carrasco,Matos mediterrânicos,0.85
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2021-05-31,14:30,24.3,41.0,Carqueja,Matos atlânticos,0.8219
