nucleo_sub_regional,local_recolha,data,hora,t_ar_c,hr_pct,especie,grupo,hcv
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-23,,,,Tojo,Matos atlânticos,1.3
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-23,,,,P. bravo,Pinhais,1.49
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-23,,,,Eucalipto,Outro,1.51
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-24,,,,Urze,Matos atlânticos,0.88
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-24,,,,Tojo,Matos atlânticos,1.36
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-24,,,,P. bravo,Pinhais,1.29
"Aveiro, Viseu e Dão Lafões",Viseu,2020-07-24,,,,Eucalipto,Outro,1.36
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-07-27,14h00,33.3,25.8,Urze,Matos atlânticos,0.91
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-07-27,14h00,33.3,25.8,Carqueja,Matos atlânticos,0.77
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-07-27,14h00,33.3,25.8,P. bravo,Pinhais,1.85
AML e Alentejo Litoral,Arrábida - Setúbal,2020-07-27,14:30,31.6,43.2,Esteva,Matos mediterrânicos,0.679
AML e Alentejo Litoral,Arrábida - Setúbal,2020-07-27,14:30,31.6,43.2,Carrasco,Matos mediterrânicos,0.8448
"Aveiro, Viseu e Dão Lafões",,2020-07-27,,,,Urze,Matos atlânticos,0.93
"Aveiro, Viseu e Dão Lafões",,2020-07-27,,,,Tojo,Matos atlânticos,1.17
"Aveiro, Viseu e Dão Lafões",,2020-07-27,,,,P. bravo,Pinhais,1.31
"Aveiro, Viseu e Dão Lafões",,2020-07-27,,,,Eucalipto,Outro,1.48
Douro,Lamares - Vila Real,2020-07-27,14:30,36.2,22.0,Carqueja,Matos atlânticos,0.96
Douro,Lamares - Vila Real,2020-07-27,14:30,36.2,22.0,Urze,Matos atlânticos,1.06
Douro,Lamares - Vila Real,2020-07-27,14:30,36.2,22.0,Herbáceas,Herbáceas,0.37
AML e Alentejo Litoral,Monsanto - Lisboa,2020-07-27,14:47,31.0,,Carrasco,Matos mediterrânicos,0.823
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-07-27,14:20,36.5,29.0,Esteva,Matos mediterrânicos,0.823
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-07-27,14:20,36.5,29.0,Giesta,Giestais,0.918
Médio Tejo e Lezíria do tejo,Chamusca,2020-07-28,15:20,33.3,28.5,Esteva,Matos mediterrânicos,0.81
Médio Tejo e Lezíria do tejo,Chamusca,2020-07-28,15:20,35.0,34.0,Tojo,Matos atlânticos,0.87
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-28,14:00,22.9,68.7,Carqueja,Matos atlânticos,1.01
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-28,14:00,22.9,68.7,Urze,Matos atlânticos,0.75
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-28,14:00,22.9,68.7,Tojo,Matos atlânticos,1.18
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-07-28,14:00,22.9,68.7,Herbáceas,Herbáceas,0.53
"Aveiro, Viseu e Dão Lafões",,2020-07-28,,,,Urze,Matos atlânticos,0.9
"Aveiro, Viseu e Dão Lafões",,2020-07-28,,,,Tojo,Matos atlânticos,1.33
"Aveiro, Viseu e Dão Lafões",,2020-07-28,,,,P. bravo,Pinhais,1.64
"Aveiro, Viseu e Dão Lafões",,2020-07-28,,,,Eucalipto,Outro,1.67
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-07-28,14:30,30.3,44.5,Carqueja,Matos atlânticos,0.73
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-07-28,14:30,30.3,45.0,Urze,Matos atlânticos,0.68
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-07-28,14:30,30.3,44.5,Herbáceas,Herbáceas,0.5
Médio Tejo e Lezíria do tejo,Santarém,2020-07-28,15:20,35.0,34.0,Tojo,Matos atlânticos,0.87
Médio Tejo e Lezíria do tejo,Santarém,2020-07-28,15:20,35.0,34.0,P. bravo,Pinhais,1.63
Alto Minho e Cávado,Vile - Caminha,2020-07-28,14:00,30.8,45.2,Carqueja,Matos atlânticos,0.73
Alto Minho e Cávado,Vile - Caminha,2020-07-28,14:00,30.8,45.2,Herbáceas,Herbáceas,0.31
Alto Minho e Cávado,Vile - Caminha,2020-07-28,14:00,30.8,45.2,Urze,Matos atlânticos,0.63
Alto Minho e Cávado,Vile - Caminha,2020-07-28,14:00,30.8,45.2,Tojo,Matos atlânticos,1.24
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-07-29,,,,Esteva,Matos mediterrânicos,0.8
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-07-29,,,,Tojo,Matos atlânticos,0.83
Alto Minho e Cávado,Vile - Caminha,2020-07-29,14:00,24.0,54.0,Tojo,Matos atlânticos,1.24
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2020-07-29,14:45,37.5,19.0,P. bravo,Pinhais,1.41
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-07-29,14:45,37.5,19.0,Esteva,Matos mediterrânicos,0.78
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-07-29,14:45,37.5,19.0,Urze,Matos atlânticos,0.7
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-08-03,14:40,31.1,30.6,Urze,Matos atlânticos,0.83
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-08-03,14:40,31.1,30.6,Carqueja,Matos atlânticos,0.78
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-08-03,14:40,31.1,30.6,P. bravo,Pinhais,1.82
AML e Alentejo Litoral,Arrábida - Setúbal,2020-08-03,14:00,28.5,46.7,Carrasco,Matos mediterrânicos,0.2287
AML e Alentejo Litoral,Arrábida - setúbal,2020-08-03,14:00,28.5,46.7,Esteva,Matos mediterrânicos,0.737
Médio Tejo e Lezíria do tejo,Chamusca,2020-08-03,14:15,29.9,39.0,Esteva,Matos mediterrânicos,0.71
Médio Tejo e Lezíria do tejo,Chamusca,2020-08-03,14:15,29.9,39.0,Tojo,Matos atlânticos,0.84
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-03,14:00,21.3,66.3,Carqueja,Matos atlânticos,0.912
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-03,14:00,21.3,66.3,Urze,Matos atlânticos,0.847
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-03,14:00,21.3,66.3,Tojo,Matos atlânticos,1.139
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-03,14:00,21.3,66.3,Herbáceas,Herbáceas,0.519
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-08-03,14:00,33.2,31.0,Carqueja,Matos atlânticos,0.843
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-08-03,14:00,33.2,31.0,Urze,Matos atlânticos,0.729
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-08-03,14:00,33.2,31.0,Herbáceas,Herbáceas,0.264
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-03,,,,Eucalipto,Outro,1.283
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-03,,,,P. bravo,Pinhais,1.486
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-03,,,,Tojo,Matos atlânticos,1.35
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-03,,,,Urze,Matos atlânticos,0.93
AML e Alentejo Litoral,Monsanto - Lisboa,2020-08-03,14:25,25.0,60.0,Carrasco,Matos mediterrânicos,0.7702
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-08-03,14:50,32.7,27.4,Esteva,Matos mediterrânicos,0.84
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-08-03,14:50,32.7,27.4,Giesta,Giestais,0.893
Médio Tejo e Lezíria do tejo,Santarém,2020-08-03,15:15,28.8,42.5,Tojo,Matos atlânticos,0.9
Médio Tejo e Lezíria do tejo,Santarém,2020-08-03,15:15,28.8,42.5,P. bravo,Pinhais,1.62
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-04,,,,Eucalipto,Outro,1.28
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-04,,,,P. bravo,Pinhais,1.64
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-04,,,,Tojo,Matos atlânticos,1.27
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-04,,,,Urze,Matos atlânticos,0.71
Douro,Lamares - Vila Real,2020-08-04,14:07,29.4,24.2,Carqueja,Matos atlânticos,0.92
Douro,Lamares - Vila Real,2020-08-04,14:07,29.4,24.2,Urze,Matos atlânticos,0.9
Douro,Lamares - Vila Real,2020-08-04,14:07,29.4,24.2,Herbáceas,Herbáceas,0.28
Alto Minho e Cávado,Vile - Caminha,2020-08-04,14:00,31.2,41.5,Carqueja,Matos atlânticos,0.71
Alto Minho e Cávado,Vile - Caminha,2020-08-04,14:00,31.2,42.0,Urze,Matos atlânticos,0.62
Alto Minho e Cávado,Vile - Caminha,2020-08-04,14:00,31.2,42.5,Tojo,Matos atlânticos,1.11
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-08-05,,,,Esteva,Matos mediterrânicos,0.84
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-08-05,,,,Tojo,Matos atlânticos,0.75
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-05,,,,Eucalipto,Outro,1.02
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-05,,,,P. bravo,Pinhais,1.56
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-05,,,,Tojo,Matos atlânticos,1.07
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-05,,,,Urze,Matos atlânticos,0.61
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-06,,,,Eucalipto,Outro,0.97
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-06,,,,P. bravo,Pinhais,1.6
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-06,,,,Tojo,Matos atlânticos,1.14
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-06,,,,Urze,Matos atlânticos,0.67
Algarve,Faro,2020-08-07,,,,Esteva,Matos mediterrânicos,0.419
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-07,,,,Eucalipto,Outro,0.87
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-07,,,,P. bravo,Pinhais,1.61
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-07,,,,Tojo,Matos atlânticos,1.22
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-07,,,,Urze,Matos atlânticos,0.62
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-08-10,14:26,32.0,35.7,Carqueja,Matos atlânticos,0.74
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-08-10,14:26,32.0,35.7,Urze,Matos atlânticos,0.74
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-08-10,14:26,32.0,35.7,P. bravo,Pinhais,1.76
AML e Alentejo Litoral,Arrábida - Setúbal,2020-08-10,13:30,27.6,47.5,Carrasco,Matos mediterrânicos,0.2
AML e Alentejo Litoral,Arrábida - Setúbal,2020-08-10,13:30,27.6,47.5,Esteva,Matos mediterrânicos,0.787
Médio Tejo e Lezíria do tejo,Chamusca,2020-08-10,14:40,31.8,42.3,Esteva,Matos mediterrânicos,0.7
Médio Tejo e Lezíria do tejo,Chamusca,2020-08-10,14:40,31.8,42.3,Tojo,Matos atlânticos,0.82
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-10,14:00,23.7,61.2,Carqueja,Matos atlânticos,0.753
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-10,14:00,23.7,61.2,Urze,Matos atlânticos,0.703
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-10,14:00,23.7,61.2,Tojo,Matos atlânticos,1.073
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-10,14:00,23.7,61.2,Herbáceas,Herbáceas,0.391
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-08-10,14:15,34.0,32.0,Carqueja,Matos atlânticos,0.79
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-08-10,14:15,34.0,32.0,Urze,Matos atlânticos,0.69
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-08-10,14:15,34.0,32.0,Herbáceas,Herbáceas,0.22
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-10,,,,Eucalipto,Outro,1.24
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-10,,,,P. bravo,Pinhais,1.63
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-10,,,,Tojo,Matos atlânticos,1.25
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-10,,,,Urze,Matos atlânticos,0.62
Douro,Lamares - Vila Real,2020-08-10,14:37,28.6,34.3,Carqueja,Matos atlânticos,0.77
Douro,Lamares - Vila Real,2020-08-10,14:37,28.6,34.3,Urze,Matos atlânticos,0.92
Douro,Lamares - Vila Real,2020-08-10,14:37,28.6,34.3,Herbáceas,Herbáceas,0.24
AML e Alentejo Litoral,Monsanto - Lisboa,2020-08-10,15:38,26.0,50.0,Carrasco,Matos mediterrânicos,0.7758
AML e Alentejo Litoral,Ouressa - Sintra,2020-08-10,14:30,25.2,52.7,Urze,Matos atlânticos,0.1917
AML e Alentejo Litoral,Ouressa - Sintra,2020-08-10,14:30,25.2,52.7,Tojo,Matos atlânticos,0.8708
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-08-10,14:30,32.4,30.4,Esteva,Matos mediterrânicos,0.884
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-08-10,14:30,32.4,30.4,Giesta,Giestais,0.659
Médio Tejo e Lezíria do tejo,Santarém,2020-08-10,13:45,29.8,46.8,Tojo,Matos atlânticos,0.86
Médio Tejo e Lezíria do tejo,Santarém,2020-08-10,13:45,29.8,46.8,P. bravo,Pinhais,1.55
Alto Minho e Cávado,,2020-08-11,,,,Eucalipto,Outro,1.27
Alto Minho e Cávado,,2020-08-11,,,,P. bravo,Pinhais,1.79
Alto Minho e Cávado,,2020-08-11,,,,Tojo,Matos atlânticos,1.585
Alto Minho e Cávado,,2020-08-11,,,,Urze,Matos atlânticos,0.855
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-11,,,,Eucalipto,Outro,1.11
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-11,,,,P. bravo,Pinhais,1.46
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-11,,,,Tojo,Matos atlânticos,1.16
"Aveiro, Viseu e Dão Lafões",Viseu,2020-08-11,,,,Urze,Matos atlânticos,0.63
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-08-12,14:06,20.6,61.2,Tojo,Matos atlânticos,0.98
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-08-12,14:06,20.6,61.2,Esteva,Matos mediterrânicos,0.87
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2020-08-12,14:15,28.0,37.0,P. bravo,Pinhais,1.24
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-08-12,14:45,28.0,37.0,Esteva,Matos mediterrânicos,0.8
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-08-12,14:45,28.0,37.0,Urze,Matos atlânticos,0.52
AML e Alentejo Litoral,Arrábida - Setúbal,2020-08-17,13:50,30.3,43.5,Esteva,Matos mediterrânicos,0.6123
AML e Alentejo Litoral,Arrábida - Setúbal,2020-08-17,13:50,30.3,44.0,Carrasco,Matos mediterrânicos,0.7549
AML e Alentejo Litoral,Monsanto - Lisboa,2020-08-17,14:47,26.0,67.0,Carrasco,Matos mediterrânicos,0.776
AML e Alentejo Litoral,Ouressa - Sintra,2020-08-17,15:42,28.0,56.0,Urze,Matos atlânticos,0.5631
AML e Alentejo Litoral,Ouressa - Sintra,2020-08-17,15:42,28.0,56.0,Tojo,Matos atlânticos,0.7593
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-08-17,14h40,29.7,43.6,Esteva,Matos mediterrânicos,0.7545
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-08-17,14h40,29.7,43.6,Giesta,Giestais,0.7319
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-08-19,,,,Esteva,Matos mediterrânicos,0.98
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-08-19,,,,Tojo,Matos atlânticos,0.89
Algarve,Faro,2020-08-20,,,,Esteva,Matos mediterrânicos,0.41
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-24,14:00,23.7,51.7,Carqueja,Matos atlânticos,0.975
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-24,14:00,23.7,51.7,Urze,Matos atlânticos,1.037
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-24,14:00,23.7,51.7,Tojo,Matos atlânticos,1.251
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-24,14:00,23.7,51.7,Herbáceas,Herbáceas,0.672
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-08-24,14:00,31.0,30.5,Carqueja,Matos atlânticos,0.897
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-08-24,14:00,31.0,30.5,Urze,Matos atlânticos,0.92
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-08-24,14:00,31.0,30.5,Herbáceas,Herbáceas,0.34
Douro,Lamares - Vila Real,2020-08-24,14:00,30.0,31.0,Carqueja,Matos atlânticos,0.83
Douro,Lamares - Vila Real,2020-08-24,14:00,30.0,31.0,Urze,Matos atlânticos,0.91
Douro,Lamares - Vila Real,2020-08-24,14:00,30.0,31.0,,,
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-08-24,14h05,35.1,22.0,Esteva,Matos mediterrânicos,0.7869
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-08-24,14h05,35.1,22.0,Giesta,Giestais,0.8646
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-08-25,14:28,31.1,26.0,Carqueja,Matos atlânticos,0.75
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-08-25,14:28,31.1,26.0,Urze,Matos atlânticos,0.77
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-08-25,14:28,31.1,26.0,P. bravo,Pinhais,1.67
AML e Alentejo Litoral,Arrábida - Setúbal,2020-08-25,15h30,32.4,38.3,Carrasco,Matos mediterrânicos,0.224
AML e Alentejo Litoral,Arrábida - Setúbal,2020-08-25,15h30,32.4,38.0,Esteva,Matos mediterrânicos,0.7092
AML e Alentejo Litoral,Monsanto - Lisboa,2020-08-25,14h34,33.0,27.0,Carrasco,Matos mediterrânicos,0.77
Alto Minho e Cávado,Ponte de Lima,2020-08-25,,,,P. bravo,Pinhais,1.992
Alto Minho e Cávado,Ponte de Lima,2020-08-25,,,,Eucalipto,Outro,1.302
Alto Minho e Cávado,Ponte de Lima,2020-08-25,,,,Urze,Matos atlânticos,0.93
Alto Minho e Cávado,Ponte de Lima,2020-08-25,,,,Tojo,Matos atlânticos,1.5
Algarve,Faro,2020-08-25,,,,Esteva,Matos mediterrânicos,0.458
AML e Alentejo Litoral,Ouressa - Sintra,2020-08-25,14h30,26.2,54.6,Urze,Matos atlânticos,0.2299
AML e Alentejo Litoral,Ouressa - Sintra,2020-08-25,14h30,26.2,54.6,Tojo,Matos atlânticos,0.9448
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-08-26,,34.6,28.6,Esteva,Matos mediterrânicos,0.94
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-08-26,,34.6,28.6,Tojo,Matos atlânticos,1.45
Alto Minho e Cávado,Vile - Caminha,2020-08-27,14:00,24.9,71.0,Carqueja,Matos atlânticos,0.88
Alto Minho e Cávado,Vile - Caminha,2020-08-27,14:00,24.9,71.0,Urze,Matos atlânticos,0.79
Alto Minho e Cávado,Vile - Caminha,2020-08-27,14:00,24.9,71.0,Tojo,Matos atlânticos,1.24
AML e Alentejo Litoral,Arrábida - Setúbal,2020-08-31,15h20,30.0,22.0,Carrasco,Matos mediterrânicos,0.2497
AML e Alentejo Litoral,Arrábida - Setúbal,2020-08-31,25h20,30.0,22.0,Esteva,Matos mediterrânicos,0.6777
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-31,14:00,20.1,35.4,Carqueja,Matos atlânticos,0.96
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-31,14:00,20.1,35.4,Urze,Matos atlânticos,0.99
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-31,14:00,20.1,35.4,Tojo,Matos atlânticos,1.23
Tâmega e Sousa e Ave,Felgueira - Vale de Cambra,2020-08-31,14:00,20.1,35.4,Herbáceas,Herbáceas,0.5
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-08-31,15:30,24.8,27.2,Carqueja,Matos atlânticos,0.772
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-08-31,15:30,24.8,27.2,Urze,Matos atlânticos,0.937
"Aveiro, Viseu e Dão Lafões",Granja - Castro Daire,2020-08-31,15:30,24.8,27.2,Herbáceas,Herbáceas,0.216
Douro,Lamares - Vila Real,2020-08-31,14h10,29.9,27.0,Carqueja,Matos atlânticos,0.9
Douro,Lamares - Vila Real,2020-08-31,14h10,29.9,27.0,Urze,Matos atlânticos,0.79
AML e Alentejo Litoral,Monsanto - Lisboa,2020-08-31,14h20,29.0,15.0,Carrasco,Matos mediterrânicos,0.756
AML e Alentejo Litoral,Ouressa - Sintra,2020-08-31,14h15,30.7,31.8,Urze,Matos atlânticos,0.202
AML e Alentejo Litoral,Ouressa - Sintra,2020-08-31,14h15,30.7,31.8,Tojo,Matos atlânticos,1.0974
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-08-31,14h10,30.1,14.5,Esteva,Matos mediterrânicos,0.7139
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-08-31,14h10,30.1,14.5,Giesta,Giestais,0.7966
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-09-01,14:00,27.9,23.8,Carqueja,Matos atlânticos,0.7
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-09-01,14:00,27.9,23.8,Urze,Matos atlânticos,0.67
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-09-01,14:00,27.9,23.8,P. bravo,Pinhais,1.65
Médio Tejo e Lezíria do tejo,Chamusca,2020-09-01,14:25,29.4,37.7,Esteva,Matos mediterrânicos,0.67
Médio Tejo e Lezíria do tejo,Chamusca,2020-09-01,14:25,29.4,38.0,Tojo,Matos atlânticos,0.77
Médio Tejo e Lezíria do tejo,Santarém,2020-09-01,15:25,28.3,33.6,Tojo,Matos atlânticos,0.91
Médio Tejo e Lezíria do tejo,Santarém,2020-09-01,15:25,28.3,33.6,P. bravo,Pinhais,1.76
Alto Minho e Cávado,Vile - Caminha,2020-09-02,14:00,28.9,37.0,Carqueja,Matos atlânticos,0.83
Alto Minho e Cávado,Vile - Caminha,2020-09-02,14:00,28.9,37.0,Urze,Matos atlânticos,0.77
Alto Minho e Cávado,Vile - Caminha,2020-09-02,14:00,28.9,37.0,Tojo,Matos atlânticos,1.13
"Beira Baixa, Beiras e Serra da Estrela",Zona industrial,2020-09-03,14:15,34.0,13.0,P. bravo,Pinhais,1.29
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-09-03,14:45,34.0,13.0,Esteva,Matos mediterrânicos,0.77
"Beira Baixa, Beiras e Serra da Estrela",Olelas,2020-09-03,14:45,34.0,13.0,Urze,Matos atlânticos,0.63
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-09-07,14:15,27.6,31.6,Carqueja,Matos atlânticos,0.74
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-09-07,14:15,27.6,31.6,Urze,Matos atlânticos,0.57
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-09-07,14:15,27.6,31.6,P. bravo,Pinhais,1.63
Médio Tejo e Lezíria do tejo,Chamusca,2020-09-07,14:00,33.9,26.0,Tojo,Matos atlânticos,0.69
Médio Tejo e Lezíria do tejo,Chamusca,2020-09-07,14:00,33.9,26.0,Esteva,Matos mediterrânicos,0.69
Douro,Lamares - Vila Real,2020-09-07,15:00,23.9,33.9,Carqueja,Matos atlânticos,0.78
Douro,Lamares - Vila Real,2020-09-07,15:00,23.9,33.9,Urze,Matos atlânticos,0.93
AML e Alentejo Litoral,Monsanto - Lisboa,2020-09-07,14:45,33.0,27.0,Carrasco,Matos mediterrânicos,0.75
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-09-07,14:40,34.4,20.3,Esteva,Matos mediterrânicos,0.73
"Alto Alentejo, Alentejo Central e Baixo Alentejo",Penha - Portalegre,2020-09-07,14:40,34.4,20.3,Giesta,Giestais,0.72
Médio Tejo e Lezíria do tejo,Santarém,2020-09-07,15:00,37.8,19.8,Tojo,Matos atlânticos,0.81
Médio Tejo e Lezíria do tejo,Santarém,2020-09-07,15:00,37.8,19.8,P. bravo,Pinhais,1.53
AML e Alentejo Litoral,Arrábida - Setúbal,2020-09-08,15:22,32.4,29.4,Esteva,Matos mediterrânicos,0.58
AML e Alentejo Litoral,Arrábida - Setúbal,2020-09-08,15:22,32.4,29.4,Carrasco,Matos mediterrânicos,0.7
AML e Alentejo Litoral,Ouressa - Sintra,2020-09-08,13:28,32.3,23.4,Urze,Matos atlânticos,0.43
AML e Alentejo Litoral,Ouressa - Sintra,2020-09-08,13:28,32.3,23.4,Tojo,Matos atlânticos,0.52
Alto Minho e Cávado,Vile - Caminha,2020-09-08,14:00,28.5,35.6,Carqueja,Matos atlânticos,0.78
Alto Minho e Cávado,Vile - Caminha,2020-09-08,14:00,28.5,35.6,Urze,Matos atlânticos,0.83
Alto Minho e Cávado,Vile - Caminha,2020-09-08,14:00,28.5,35.6,Tojo,Matos atlânticos,1.08
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-09-09,14:43,29.9,20.2,Tojo,Matos atlânticos,0.85
Alto Tâmega e Terra de Trás-os-Montes,França - Bragança,2020-09-09,14:43,29.9,20.2,Esteva,Matos mediterrânicos,0.94
AML e Alentejo Litoral,Faro,2020-09-09,,,,Esteva,Matos mediterrânicos,0.424
AML e Alentejo Litoral,Faro,2020-09-11,,,,Esteva,Matos mediterrânicos,0.416
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-09-14,,,,Urze,Matos atlânticos,0.59
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-09-14,,,,Carqueja,Matos atlânticos,0.72
Alto Tâmega e Terra de Trás-os-Montes,Anelhe - Chaves,2020-09-14,,,,P. bravo,Pinhais,1.84
